epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6782,1.04935,4.71513,1.06614,0.04477,0.22658,0.0495,0.04264,0.83097,4.28157,0.83879,0.000113915,0.000113915,0.000113915
2,138.556,0.97726,4.12839,0.9917,0.22778,0.2366,0.09631,0.07909,0.87105,3.21282,0.86652,0.000227404,0.000227404,0.000227404
3,194.342,1.01844,3.39886,0.99105,0.12542,0.3964,0.11678,0.09479,0.78364,3.01732,0.87233,0.000339375,0.000339375,0.000339375
4,249.092,0.98473,2.76555,0.99557,0.20566,0.45353,0.15945,0.12984,0.7497,2.62877,0.86252,0.000338169,0.000338169,0.000338169
5,304.015,0.95197,2.46176,0.98467,0.17184,0.41763,0.17925,0.14126,0.79903,2.32759,0.88853,0.000335892,0.000335892,0.000335892
6,359.141,0.90809,2.25508,0.97973,0.24003,0.40308,0.21949,0.17843,0.6888,1.99899,0.86031,0.000333615,0.000333615,0.000333615
7,413.86,0.84619,2.1325,0.96486,0.2306,0.50348,0.24708,0.20368,0.68824,1.93005,0.8515,0.000331338,0.000331338,0.000331338
8,468.401,0.84729,2.05229,0.95841,0.29941,0.47185,0.30422,0.25496,0.65118,1.75645,0.84745,0.000329061,0.000329061,0.000329061
9,524.459,0.83485,1.98872,0.96487,0.2935,0.50112,0.31937,0.26335,0.69789,1.7318,0.86664,0.000326784,0.000326784,0.000326784
10,579.253,0.81585,1.91754,0.95699,0.32783,0.53294,0.35645,0.2991,0.66059,1.67564,0.86001,0.000324507,0.000324507,0.000324507
11,634.199,0.78617,1.86857,0.95066,0.35607,0.55971,0.37108,0.31189,0.67926,1.64244,0.85543,0.00032223,0.00032223,0.00032223
12,689.043,0.79312,1.84175,0.95062,0.3231,0.56001,0.37609,0.31439,0.64963,1.60467,0.85095,0.000319953,0.000319953,0.000319953
13,743.601,0.78004,1.80562,0.95536,0.35696,0.5337,0.38774,0.3219,0.62869,1.66457,0.84633,0.000317676,0.000317676,0.000317676
14,798.343,0.79764,1.79484,0.95417,0.35238,0.52073,0.39153,0.33082,0.64717,1.60931,0.85216,0.000315399,0.000315399,0.000315399
15,852.874,0.77381,1.74602,0.94355,0.38204,0.5348,0.4064,0.33961,0.62445,1.5367,0.8465,0.000313122,0.000313122,0.000313122
16,907.327,0.76663,1.71548,0.94116,0.38862,0.58873,0.44182,0.37539,0.6054,1.46278,0.84558,0.000310845,0.000310845,0.000310845
17,961.753,0.76606,1.70082,0.94296,0.37549,0.60811,0.42538,0.36341,0.60071,1.46434,0.84645,0.000308568,0.000308568,0.000308568
18,1016.17,0.75227,1.67561,0.93762,0.39498,0.56825,0.4372,0.36725,0.61836,1.50766,0.84404,0.000306291,0.000306291,0.000306291
19,1070.53,0.73974,1.67623,0.93416,0.45602,0.55584,0.46582,0.39528,0.60645,1.38961,0.84644,0.000304014,0.000304014,0.000304014
20,1125.6,0.74901,1.64287,0.93498,0.45157,0.59432,0.46634,0.39576,0.59417,1.4178,0.84795,0.000301737,0.000301737,0.000301737
21,1179.87,0.7543,1.61734,0.93762,0.40985,0.63272,0.4767,0.40494,0.59693,1.35655,0.84458,0.00029946,0.00029946,0.00029946
22,1234.27,0.72492,1.60199,0.93692,0.42854,0.62241,0.46035,0.38304,0.59994,1.43379,0.84888,0.000297183,0.000297183,0.000297183
23,1288.67,0.7391,1.60174,0.92749,0.51104,0.58996,0.49683,0.42055,0.60809,1.33225,0.84794,0.000294906,0.000294906,0.000294906
24,1343.16,0.712,1.5315,0.93507,0.45677,0.63902,0.51374,0.44006,0.59804,1.27994,0.84428,0.000292629,0.000292629,0.000292629
25,1397.42,0.71446,1.52265,0.92943,0.477,0.57242,0.51138,0.43663,0.58919,1.27657,0.8454,0.000290352,0.000290352,0.000290352
26,1452.26,0.71862,1.51554,0.9341,0.48529,0.60705,0.51447,0.43873,0.59356,1.28695,0.85091,0.000288075,0.000288075,0.000288075
27,1506.58,0.72126,1.50334,0.936,0.45411,0.62606,0.53423,0.44361,0.61597,1.28529,0.8524,0.000285798,0.000285798,0.000285798
28,1561.09,0.72181,1.4966,0.93686,0.51434,0.6322,0.55588,0.47184,0.59654,1.20782,0.84952,0.000283521,0.000283521,0.000283521
29,1615,0.71361,1.48485,0.93138,0.53316,0.62577,0.56593,0.48293,0.58435,1.2347,0.84983,0.000281244,0.000281244,0.000281244
30,1669.41,0.71605,1.45439,0.93211,0.501,0.65901,0.56799,0.48455,0.56368,1.17668,0.84206,0.000278967,0.000278967,0.000278967
31,1723.4,0.72251,1.44125,0.93117,0.53959,0.57941,0.56855,0.47799,0.59839,1.22149,0.84676,0.00027669,0.00027669,0.00027669
32,1777.59,0.70447,1.4001,0.92412,0.48145,0.62824,0.57537,0.48764,0.57443,1.19825,0.84369,0.000274413,0.000274413,0.000274413
33,1831.81,0.71329,1.4121,0.92102,0.5141,0.58709,0.55922,0.46899,0.59099,1.2688,0.84477,0.000272136,0.000272136,0.000272136
34,1885.83,0.71105,1.40464,0.92787,0.52281,0.62313,0.5784,0.49227,0.58047,1.18454,0.84942,0.000269859,0.000269859,0.000269859
35,1940.21,0.70714,1.36799,0.93134,0.552,0.64085,0.58925,0.50352,0.57075,1.14968,0.84473,0.000267582,0.000267582,0.000267582
36,1994.24,0.70962,1.38207,0.92748,0.53646,0.66925,0.59151,0.5044,0.56393,1.14463,0.84149,0.000265305,0.000265305,0.000265305
37,2048.27,0.69938,1.33835,0.92543,0.49585,0.65417,0.60666,0.51199,0.57061,1.09928,0.84493,0.000263028,0.000263028,0.000263028
38,2102.45,0.70014,1.35982,0.92836,0.5368,0.63418,0.60189,0.50781,0.58683,1.16699,0.8524,0.000260751,0.000260751,0.000260751
39,2156.51,0.69262,1.32585,0.92425,0.57972,0.65228,0.61413,0.52484,0.56812,1.08786,0.8441,0.000258474,0.000258474,0.000258474
40,2210.77,0.69276,1.30315,0.9161,0.58158,0.67118,0.63404,0.53969,0.5692,1.03235,0.84366,0.000256197,0.000256197,0.000256197
41,2264.7,0.6811,1.29894,0.92617,0.57521,0.66569,0.63137,0.53842,0.56378,1.06477,0.84414,0.00025392,0.00025392,0.00025392
42,2318.76,0.68063,1.33343,0.92609,0.57297,0.6365,0.62521,0.53381,0.57028,1.03077,0.84725,0.000251643,0.000251643,0.000251643
43,2372.93,0.69678,1.29308,0.92312,0.65101,0.629,0.63126,0.53345,0.59442,1.06253,0.84974,0.000249366,0.000249366,0.000249366
44,2427.1,0.6785,1.27746,0.92059,0.60942,0.68998,0.63743,0.5425,0.5747,1.03126,0.84666,0.000247089,0.000247089,0.000247089
45,2481.28,0.69077,1.26154,0.92044,0.58331,0.67119,0.6415,0.54564,0.56914,1.06641,0.84272,0.000244812,0.000244812,0.000244812
46,2535.74,0.68407,1.26539,0.92096,0.61722,0.66689,0.64972,0.55456,0.5671,1.00157,0.84658,0.000242535,0.000242535,0.000242535
47,2589.93,0.67418,1.25679,0.9198,0.60733,0.70553,0.65353,0.55336,0.58445,1.00924,0.84258,0.000240258,0.000240258,0.000240258
48,2644.04,0.66948,1.24586,0.92629,0.68876,0.64822,0.66565,0.56908,0.57909,1.01127,0.84873,0.000237981,0.000237981,0.000237981
49,2698.12,0.68189,1.24111,0.91982,0.64303,0.68189,0.66329,0.5669,0.57015,0.95997,0.84489,0.000235704,0.000235704,0.000235704
