epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5321,0.89213,3.13615,1.04334,0.23915,0.45022,0.233,0.19273,0.62596,2.29166,0.87353,0.000113915,0.000113915,0.000113915
2,186.624,0.79517,1.95443,0.98718,0.38144,0.50177,0.35143,0.28361,0.68971,1.92534,0.9433,0.000226649,0.000226649,0.000226649
3,277.267,0.81078,1.78029,0.99386,0.37301,0.56198,0.40577,0.32525,0.71453,1.69586,0.97885,0.000337106,0.000337106,0.000337106
4,367.295,0.76696,1.67683,0.99322,0.39842,0.59694,0.47838,0.39708,0.62776,1.46707,0.91981,0.000334753,0.000334753,0.000334753
5,457.149,0.76305,1.53202,0.99281,0.48078,0.58635,0.50395,0.41451,0.62287,1.43711,0.94487,0.000331338,0.000331338,0.000331338
6,544.635,0.74805,1.4272,0.99244,0.42149,0.67392,0.57169,0.46921,0.64823,1.22362,0.94543,0.000327922,0.000327922,0.000327922
7,631.443,0.72429,1.32414,0.98149,0.52948,0.63669,0.61062,0.51289,0.60679,1.16419,0.92197,0.000324507,0.000324507,0.000324507
8,718.643,0.72464,1.30053,0.973,0.65406,0.64749,0.63935,0.5389,0.60409,1.07522,0.91923,0.000321091,0.000321091,0.000321091
9,805.274,0.70951,1.24705,0.97698,0.56915,0.6586,0.64474,0.54161,0.64929,1.00244,0.9381,0.000317676,0.000317676,0.000317676
10,892.601,0.70872,1.22222,0.97318,0.67329,0.70069,0.70197,0.60173,0.55683,0.87508,0.9007,0.000314261,0.000314261,0.000314261
11,979.425,0.67723,1.14221,0.96539,0.63061,0.71223,0.68031,0.57521,0.59087,1.01366,0.93491,0.000310845,0.000310845,0.000310845
12,1064.09,0.67781,1.17673,0.96215,0.60483,0.71942,0.71058,0.60583,0.58139,0.93534,0.91533,0.000307429,0.000307429,0.000307429
13,1150.87,0.68061,1.10311,0.9711,0.71696,0.66736,0.72873,0.62096,0.58376,0.86604,0.90921,0.000304014,0.000304014,0.000304014
14,1237.96,0.68049,1.07942,0.9643,0.72144,0.70769,0.74121,0.63804,0.57135,0.77836,0.90791,0.000300598,0.000300598,0.000300598
15,1324.8,0.66201,1.066,0.95319,0.72174,0.74266,0.73651,0.63446,0.55775,0.76932,0.90469,0.000297183,0.000297183,0.000297183
16,1409.52,0.65436,1.02976,0.95309,0.67746,0.75491,0.73331,0.62365,0.5685,0.79441,0.91116,0.000293768,0.000293768,0.000293768
17,1494.57,0.65229,0.99786,0.95369,0.73148,0.6794,0.75591,0.64724,0.55835,0.73538,0.93314,0.000290352,0.000290352,0.000290352
18,1581.7,0.63653,0.99092,0.95099,0.75562,0.72064,0.76429,0.65794,0.56682,0.73818,0.90461,0.000286936,0.000286936,0.000286936
19,1668.77,0.63139,0.99753,0.94533,0.70788,0.75183,0.75971,0.64739,0.59594,0.69871,0.92612,0.000283521,0.000283521,0.000283521
20,1753.54,0.64919,0.97132,0.94439,0.70163,0.74336,0.75103,0.64274,0.56956,0.70403,0.91252,0.000280106,0.000280106,0.000280106
21,1838.43,0.63378,0.962,0.94159,0.71107,0.74893,0.7703,0.65951,0.55945,0.67227,0.92466,0.00027669,0.00027669,0.00027669
22,1925.33,0.61197,0.93029,0.94063,0.7629,0.76308,0.7708,0.66162,0.54109,0.67525,0.90355,0.000273275,0.000273275,0.000273275
23,2011.98,0.62698,0.91588,0.93003,0.72483,0.78821,0.76998,0.66114,0.54138,0.66444,0.89758,0.000269859,0.000269859,0.000269859
24,2096.97,0.6017,0.8649,0.93846,0.69182,0.77296,0.77982,0.67067,0.54618,0.63991,0.89931,0.000266444,0.000266444,0.000266444
25,2184.15,0.60757,0.88185,0.9347,0.69493,0.77765,0.77334,0.65211,0.57548,0.67568,0.93571,0.000263028,0.000263028,0.000263028
26,2268.87,0.61766,0.90443,0.94331,0.69078,0.77863,0.78335,0.67562,0.5241,0.65993,0.88444,0.000259612,0.000259612,0.000259612
27,2355.75,0.61293,0.89076,0.93754,0.7623,0.76558,0.79361,0.68035,0.54755,0.61436,0.89286,0.000256197,0.000256197,0.000256197
28,2442.69,0.60718,0.85505,0.93468,0.78657,0.75252,0.8032,0.68901,0.53452,0.5866,0.8959,0.000252781,0.000252781,0.000252781
29,2529.38,0.60244,0.85843,0.93676,0.71779,0.77485,0.77632,0.67416,0.52645,0.62916,0.89154,0.000249366,0.000249366,0.000249366
30,2613.96,0.58732,0.83395,0.93325,0.71127,0.7937,0.79907,0.6869,0.52482,0.61914,0.89555,0.00024595,0.00024595,0.00024595
31,2699.03,0.60004,0.82836,0.93344,0.69592,0.78337,0.78121,0.67128,0.52592,0.61287,0.89161,0.000242535,0.000242535,0.000242535
32,2783.73,0.59502,0.80581,0.9334,0.74236,0.76952,0.78771,0.68442,0.5177,0.5898,0.89336,0.000239119,0.000239119,0.000239119
33,2868.52,0.58734,0.81369,0.92055,0.75315,0.79602,0.79505,0.68261,0.53564,0.62498,0.89465,0.000235704,0.000235704,0.000235704
34,2954.35,0.58175,0.81768,0.92886,0.75442,0.76996,0.79858,0.69218,0.52202,0.56981,0.89061,0.000232288,0.000232288,0.000232288
35,3042.9,0.58132,0.80423,0.92772,0.78577,0.73297,0.79411,0.6905,0.51048,0.56512,0.88432,0.000228873,0.000228873,0.000228873
