                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0569,                 4.6234,                 1.0922,                0.03275,                0.53183,                0.06006,                0.05226,                0.81002,                 3.7863,                0.85324,             0.00011392,             0.00011392,             0.00011392
                      1,                   1.01,                 3.6875,                 1.0017,                0.19177,                0.25775,                0.09201,                0.07365,                0.79259,                 3.1911,                 0.8512,             0.00022438,             0.00022438,             0.00022438
                      2,                 1.0282,                 3.0241,                 1.0106,                0.24596,                0.39274,                0.14687,                0.11437,                0.84658,                 2.7173,                0.86328,              0.0003303,              0.0003303,              0.0003303
                      3,                0.96583,                 2.6208,                 1.0007,                0.23882,                0.37044,                0.18395,                0.14912,                0.74649,                 2.3769,                0.85077,             0.00032451,             0.00032451,             0.00032451
                      4,                 0.9337,                 2.3847,                0.98482,                0.23729,                0.41702,                0.19601,                0.15401,                0.75692,                 2.2441,                0.85768,             0.00032451,             0.00032451,             0.00032451
                      5,                0.88696,                 2.2283,                0.98109,                0.24302,                0.47105,                0.24835,                0.20084,                0.71811,                 2.0455,                 0.8446,             0.00031768,             0.00031768,             0.00031768
                      6,                0.86452,                 2.1124,                0.97869,                0.25799,                0.50019,                0.26325,                0.21359,                0.67811,                 2.0069,                0.83265,             0.00031084,             0.00031084,             0.00031084
                      7,                0.83931,                  2.013,                0.97352,                0.32351,                0.43049,                0.29577,                0.24415,                0.67368,                 1.8233,                0.83376,             0.00030401,             0.00030401,             0.00030401
                      8,                0.83335,                 1.9377,                0.96112,                0.30795,                0.43784,                0.31663,                0.25763,                0.65427,                 1.8103,                0.84545,             0.00029718,             0.00029718,             0.00029718
                      9,                0.81738,                 1.8871,                0.96621,                0.36127,                0.53607,                0.35504,                0.28743,                0.68594,                 1.9752,                0.85251,             0.00029035,             0.00029035,             0.00029035
                     10,                0.78683,                 1.8409,                0.95931,                0.34814,                 0.5206,                 0.3791,                0.31521,                0.65715,                 1.6168,                 0.8459,             0.00028352,             0.00028352,             0.00028352
                     11,                0.80125,                 1.7961,                0.95976,                0.37735,                0.49644,                0.38952,                0.32678,                0.64754,                 1.6575,                0.84223,             0.00027669,             0.00027669,             0.00027669
                     12,                0.76594,                 1.7357,                0.95168,                0.42291,                0.50763,                0.40394,                0.33857,                0.62872,                 1.6403,                0.83798,             0.00026986,             0.00026986,             0.00026986
                     13,                0.79759,                 1.7299,                0.96076,                0.42024,                0.53952,                0.43714,                0.36452,                0.62102,                 1.5593,                0.84405,             0.00026303,             0.00026303,             0.00026303
                     14,                 0.7793,                  1.682,                0.95406,                0.44731,                0.49108,                0.44225,                0.36472,                0.62762,                 1.5082,                0.83952,              0.0002562,              0.0002562,              0.0002562
                     15,                0.77052,                 1.6542,                0.94754,                0.45532,                0.51833,                0.44115,                0.36871,                0.61528,                 1.6337,                0.83258,             0.00024937,             0.00024937,             0.00024937
                     16,                0.73785,                 1.6465,                0.94938,                0.46214,                0.55159,                0.46934,                0.39172,                0.60806,                 1.4138,                0.84419,             0.00024253,             0.00024253,             0.00024253
                     17,                0.74283,                 1.5898,                0.94154,                0.43695,                0.61029,                0.47613,                0.39887,                0.60666,                 1.4447,                0.83693,              0.0002357,              0.0002357,              0.0002357
                     18,                0.74004,                 1.5864,                0.95191,                0.44093,                0.55695,                0.47854,                0.39847,                0.60523,                 1.3851,                0.83585,             0.00022887,             0.00022887,             0.00022887
                     19,                0.72404,                 1.5841,                0.93676,                 0.4283,                0.61219,                 0.4895,                0.41068,                0.59917,                 1.4606,                 0.8319,             0.00022204,             0.00022204,             0.00022204
                     20,                0.73129,                 1.5602,                 0.9428,                 0.5284,                0.53912,                0.50653,                0.42442,                 0.6069,                 1.3749,                0.83481,             0.00021521,             0.00021521,             0.00021521
                     21,                0.72783,                 1.5351,                0.94699,                0.47378,                0.58188,                0.51608,                 0.4333,                0.58748,                 1.3117,                0.83376,             0.00020838,             0.00020838,             0.00020838
                     22,                0.71288,                 1.5221,                0.93441,                0.43009,                0.62452,                0.50391,                0.42525,                0.58421,                 1.3501,                0.82928,             0.00020155,             0.00020155,             0.00020155
                     23,                0.71411,                 1.4818,                 0.9384,                 0.4748,                 0.6392,                0.52051,                0.44481,                0.56945,                   1.24,                 0.8246,             0.00019472,             0.00019472,             0.00019472
                     24,                0.72071,                 1.4875,                0.93148,                0.48406,                0.59312,                0.53202,                0.45275,                0.56977,                  1.261,                0.82702,             0.00018789,             0.00018789,             0.00018789
                     25,                0.71435,                 1.4458,                0.94196,                0.44655,                0.62871,                0.55683,                0.47622,                0.55547,                 1.2285,                0.82702,             0.00018106,             0.00018106,             0.00018106
                     26,                0.70644,                 1.4404,                0.94269,                0.45782,                0.61119,                0.54258,                0.45617,                 0.5918,                 1.2787,                0.83918,             0.00017422,             0.00017422,             0.00017422
